City,Country
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
New York,United States 
